제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
배드파파,  2018년 10월 1일 ~ 2018년 11월 27일 ,"  월요일, 화요일 오후 10:00~11:10 ",  32부작 ,  드라마 ,  문화방송 ,2018-10-01 00:00:00
학교2013,  2012년 12월 3일 ~ 2013년 1월 28일 ,"  월요일, 화요일 오후 10:00~11:05 ",  16부작 ,  학원물 ,  KBS 2TV ,2012-12-03 00:00:00
마녀보감,  2016년 5월 13일 ~ 2016년 7월 16일 ,"  금요일, 토요일 오후 8:30~ ",  20부작 ,  퓨전사극 ,  JTBC ,2016-05-13 00:00:00
내일그대와,  2017년 2월 3일 ~ 2017년 3월 25일  ,"  매주 금요일, 토요일 저녁 8시 ",  16부작 ,,  tvN ,2017-02-03 00:00:00
귓속말,  2017년 3월 27일 ~ 2017년 5월 23일 ,"  월요일, 화요일 오후 10:00~ ",  17부작 ,,  SBS ,2017-03-27 00:00:00
학교2017,  2017년 7월 17일 ~ 2017년 9월 5일 ,"  월요일, 화요일 오후 10:00~11:05 ",  16부작 ,,  KBS 2TV ,2017-07-17 00:00:00
청춘의덫,  1999년 1월 27일 ~ 1999년 4월 15일 ,"  수요일, 목요일 오후 9:55~ ",  24부작 ,,  SBS ,1999-01-27 00:00:00
질투의화신,  2016년 8월 24일 ~ 2016년 11월 10일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 00분 ",  24부작 ,,  SBS ,2016-08-24 00:00:00
아버님제가모실게요,  2016년 11월 12일 ~ 2017년 5월 7일  ,"  토요일, 일요일 밤 10시  ",  50부작 ,  막장 드라마 ,  문화방송 ,2016-11-12 00:00:00
호텔델루나,  2019년 7월 13일 ~ 2019년 9월 1일 ,"  매주 토요일, 일요일 밤 9시 10분 ~ 10시 40분 ",  16부작 ,"  판타지, 호러&로맨스 ",,2019-07-13 00:00:00
내아이디는강남미인,  2018년 7월 27일 ~ 2018년 9월 15일 ,"  금요일, 토요일 오후 11시 00분 ~ ",  16부작 ,,  JTBC ,2018-07-27 00:00:00
피리부는사나이, 2016년 3월 7일 ~ 2016년 4월 26일 ," 매주 월요일, 화요일 밤 11시 ", 16부작 ,, tvN ,2016-03-07 00:00:00
7일의왕비,  2017년 5월 31일 ~ 2017년 8월 3일 ,"  매주 수요일, 목요일 오후 10:00~11:10 ",  20부작 ,"  퓨전사극, 멜로 ",  KBS 2TV ,2017-05-31 00:00:00
내사위의여자,  2016년 1월 4일 ~ 2016년 6월 17일 ,  월요일 ~ 금요일 오전 8시 30분 ~ 9시 10분 ,  120부작,,  SBS ,2016-01-04 00:00:00
오자룡이간다,  2012년 11월 19일 ~ 2013년 5월 17일 ,  월요일 ~ 금요일 오후 7시 15분 ,  129부작 ,"  가족, 로맨스 막장 드라마 ",  문화방송 ,2012-11-19 00:00:00
하백의신부2017, 2017년 7월 3일 ~ 2017년 8월 22일 ," 매주 월요일, 화요일 밤 10시 50분 ", 16부작 ,, tvN ,2017-07-03 00:00:00
숨바꼭질,  2018년 8월 25일 ~ 2018년 11월 17일 ,,  48부작 ,,  문화방송 ,2018-08-25 00:00:00
두번째프러포즈,  2004년 9월 8일 ~ 2004년 11월 18일 ,"  수요일, 목요일 9:55 ~ ",  22부작 ,  로맨틱 코미디 ,  KBS 2TV ,2004-09-08 00:00:00
리갈하이,  2019년 2월 8일 ~ 2019년 3월 30일 ,"  금요일, 토요일 오후 11시 00분 ~ ", 16부 ,,  JTBC ,2019-02-08 00:00:00
빛과그림자,  2011년 11월 28일 ~ 2012년 7월 3일 ,"  월요일, 화요일 오후 9:55~11:15 ",  64부작 ,  시대극 ,  문화방송 ,2011-11-28 00:00:00
란제리소녀시대,  2017년 9월 11일 ~ 2017년 10월 3일 ,"  월요일, 화요일 오후 10:00~11:05 ",  8부작 ,,  KBS 2TV ,2017-09-11 00:00:00
위대한이야기,  2015년 3월 15일 ~ 2015년 5월 10일 ,  매주 일요일 밤 9시 30분 ,  9부작 ,"  역사, 단막극 ",  TV CHOSUN / tvN ,2015-03-15 00:00:00
완벽한이웃을만나는법,  2007년 7월 25일 ~ 2007년 9월 27일 ,"  수요일, 목요일 오후 9:55~ ",  20부작 ,,  SBS ,2007-07-25 00:00:00
본대로말하라,   2020년 2월 1일 ~ 2020년 3월 22일 (예정),"  토요일, 일요일 밤 10시 30분 ~ 11시 50분 ",  16부작  ,,  OCN ,2020-02-01 00:00:00
위대한유혹자,  2018년 3월 12일 ~ 2018년 5월 1일  ,"  월요일, 화요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  로맨스, 막장 드라마 ",  문화방송 ,2018-03-12 00:00:00
녹두꽃,  2019년 4월 26일 ~ 2019년 7월 13일 ,"  금요일, 토요일 오후 10:00 ~ 11:10 ",  48부작 ,,  SBS ,2019-04-26 00:00:00
앨리스,   2020년 ~ (예정) ,"  금요일, 토요일 오후 10:00 ~ 11:10 ",  ,,  SBS ,unknown
아들녀석들,  2012년 9월 22일 ~ 2013년 3월 24일 ,"  토요일, 일요일 밤 8시 45분 ",  50부작 ,"  가족, 막장 드라마 ",  문화방송 ,2012-09-22 00:00:00
리턴,  2018년 1월 17일 ~ 2018년 3월 22일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  34부작 ,"  범죄, 서스펜스, 스릴러 ",  SBS ,2018-01-17 00:00:00
맨도롱또똣,  2015년 5월 13일 ~ 2015년 7월 2일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  16부작 ,,  문화방송 ,2015-05-13 00:00:00
비밀의숲,  2017년 6월 10일 ~ 2017년 7월 30일 ,"  매주 토요일, 일요일 밤 9시 ~ ",  16부작 + 스페셜 1부작 ,"  드라마, 스릴러, 범죄 ",  tvN ,2017-06-10 00:00:00
구가의서,  2013년 4월 8일 ~ 2013년 6월 25일 ,"  월요일, 화요일 오후 10:00~11:10 ",  24부작 ,  판타지 사극 ,  문화방송 ,2013-04-08 00:00:00
비밀의숲2,  2020년 ~ ,"  토요일, 일요일 ",  부작 ,,  tvN ,unknown
킬잇,  2019년 3월 23일 ~ 2019년 4월 28일 ,"  매주 토, 일 밤 10시 20분 ",  12부작 ,"  액션, 멜로 ",  OCN_LOGO.png ,2019-03-23 00:00:00
저글러스,  2017년 12월 4일 ~ 2018년 1월 23일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2017-12-04 00:00:00
빙의,  2019년 3월 6일 ~ 2019년 4월 25일 ,"  수요일, 목요일 오후 11시 ~ ",,  드라마 ,  OCN ,2019-03-06 00:00:00
드림하이,  2011년 1월 3일 ~ 2011년 2월 28일 ,,  16부작 ,,  KBS 2TV ,2011-01-03 00:00:00
사랑의온도,  2017년 9월 18일 ~ 2017년 11월 21일 ,"  월요일, 화요일 오후 10시 00분 ~ 11시 10분 ",  40부작 ,,  SBS ,2017-09-18 00:00:00
오나의귀신님,  2015년 7월 3일 ~ 2015년 8월 22일 ,"  매주 금요일, 토요일 밤 8시 30분 ",  16부작 ,,  tvN ,2015-07-03 00:00:00
고교처세왕,  2014년 6월 16일 ~ 2014년 8월 12일 ,"  월요일, 화요일 오후 11:00~ ",  17부작 ,, tvN ,2014-06-16 00:00:00
따뜻한말한마디,  2013년 12월 2일 ~ 2014년 2월 24일 ,"  월요일, 화요일 오후 10:00~ ",  20부작 ,  멜로 ,  SBS ,2013-12-02 00:00:00
붉은달푸른해,  2018년 11월 21일 ~ 2019년 1월 16일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 + 스페셜 1부작 ,"  스릴러, 수사물 ",  문화방송 ,2018-11-21 00:00:00
톱스타유백이,  2018년 11월 16일 ~ 2019년 1월 25일 ,  금요일 오후 11:00~ ,  11부작 ,,  tvN ,2018-11-16 00:00:00
사랑하는은동아,  2015년 5월 29일 ~ 2015년 7월 18일 ,,  16부작 ,  멜로 ,  JTBC ,2015-05-29 00:00:00
마녀의연애,  2014년 4월 14일 ~ 2014년 6월 10일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2014-04-14 00:00:00
닥터이방인,  2014년 5월 5일 ~ 2014년 7월 8일 ,"  월요일, 화요일 오후 10:00~ ",  20부작 ,"  의학, 멜로 ",  SBS ,2014-05-05 00:00:00
친애하는판사님께, 2018년 7월 25일 ~ 2018년 9월 20일 ," 수요일, 목요일 오후 10:00~11:10 ", 32부작 , 법정물 , SBS ,2018-07-25 00:00:00
구해줘,  2017년 8월 5일 ~ 2017년 9월 24일 ,"  매주 토, 일 밤 10시 20분 ",  16부작 ,"  스릴러, 범죄 ",  OCN ,2017-08-05 00:00:00
무법변호사,  2018년 5월 12일 ~ 2018년 7월 1일  ,"  매주 토요일, 일요일 밤 9시 ",  16부작 ,"  법정물, 복수물, 드라마 ",  tvN ,2018-05-12 00:00:00
당신이잠든사이에,  2017년 9월 27일 ~ 2017년 11월 16일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,,  SBS ,2017-09-27 00:00:00
패션70's,  2005년 5월 23일 ~ 2005년 8월 29일 ,"  월요일, 화요일 오후 9:55~ ",  28부작 ,,  SBS ,2005-05-23 00:00:00
드림,   2009년 7월 27일 ~ 2009년 9월 29일 ,"  월요일, 화요일 오후 9:55~ ",  20부작 ,,  SBS ,2009-07-27 00:00:00
늑대,  2006년 1월 16일 ~ 2006년 1월 23일 ,"  월요일, 화요일 오후 9:55~ ",  16화 → 4화 ,,  문화방송 ,2006-01-16 00:00:00
뉴하트,  2007년 12월 12일~2008년 2월 28일 ,,  23부작 ,,  MBC ,2007-12-12 00:00:00
흑기사,  2017년 12월 6일 ~ 2018년 2월 8일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  20부작 ,,  KBS 2TV ,2017-12-06 00:00:00
