제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
시그널, 2016년 1월 22일 ~ 2016년 3월 12일, 매주 금 · 토요일 밤 8시 30분, 16부작," 범죄, 미스터리, 서스펜스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN,2016-01-22 00:00:00
더뱅커, 2019년 3월 27일 ~ 2019년 5월 16일," 매주 수요일, 목요일 밤 10시 ~ 11시 10분", 32부작," 경제, 비즈니스", MBC TV,2019-03-27 00:00:00
밥상을차리는여자, 1991년 4월 10일 ~ 1991년 5월 2일," 수요일, 목요일 밤 (시간) 9시 50분", 8부작, 드라마, 한국방송공사,1991-04-10 00:00:00
여자의방, 1992년 11월 4일 ~ 1993년 5월 6일," 매주 수,목 밤 9시 45분", 52부작, 드라마, 문화방송,1992-11-04 00:00:00
빛나거나미치거나, 2015년 1월 19일 ~ 2015년 4월 7일," 월요일, 화요일 밤 (시간) 10시", 24부작," 사극, 로맨스", MBC TV,2015-01-19 00:00:00
태양인이제마, 2002년 7월 24일 ~ 2002년 10월 31일," 매주 수,목 밤 9시 50분", 30부작, 특별기획 드라마, KBS 2TV,2002-07-24 00:00:00
맏이, 1998년 1월 5일 ~ 1998년 7월 11일, 역대 방송시간 참조, 161부작,, 문화방송,1998-01-05 00:00:00
유리구두, 2002년 3월 2일 ~ 2002년 7월 28일, 방송 시간, 40부작, 드라마, SBS,2002-03-02 00:00:00
왕룽일가, 1989년 2월 8일 ~ 1989년 4월 27일," 수요일, 목요일 밤 (시간) 9시 50분", 24부작, 드라마, KBS 2TV,1989-02-08 00:00:00
지구인, 1990년 6월 27일 ~ 1990년 8월 16일," 수요일, 목요일 밤 (시간) 9시 50분", 16부작, 드라마, 한국방송공사,1990-06-27 00:00:00
나는달린다, 2003년 10월 22일 ~ 2003년 12월 11일, 매주 수 · 목 밤 21시 55분, 16부작, 드라마, MBC TV,2003-10-22 00:00:00
KBS드라마스페셜,,,,, KBS 2TV,unknown
가시꽃, 2013년 2월 4일 ~ 2013년 8월 1일, 매주 평일 밤 8:10 ~ 8:50, 120부작, 드라마 · 연속극, JTBC,2013-02-04 00:00:00
걸어서하늘까지, 1993년 1월 18일 ~ 1993년 3월 9일, 매주 월 · 화요일 밤 9시 50분, 16부작, 텔레비전 드라마 드라마음악, 문화방송,1993-01-18 00:00:00
닥터깽, 2006년 4월 5일 ~ 2006년 5월 25일," 수, 목 오후 9시 55분", 16부작, 드라마, MBC,2006-04-05 00:00:00
바보같은사랑, 2000년 4월 24일 ~ 2000년 6월 27일," 월요일, 화요일 오후 9시 50분 ~ 10시 50분", 20부작, 드라마, 한국방송공사,2000-04-24 00:00:00
사랑하는사람아, 2007년 1월 15일 ~ 2007년 3월 27일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 20부작, 드라마, SBS,2007-01-15 00:00:00
용팔이, 2015년 8월 5일 ~ 2015년 10월 1일," 수요일, 목요일 밤 10시 ~ 11시 15분", 18부작뉴스 인용," 메디컬 드라마, 액션, 서스펜스", SBS,2015-08-05 00:00:00
