제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
자꾸만보고싶네, 2000년 9월 18일 ~ 2001년 3월 30일, 월요일 ~ 금요일 밤 (시간) 8시 45분 ~ 9시 15분, 128부작, 드라마, SBS TV,2000-09-18 00:00:00
사랑하는은동아, 2015년 5월 29일 ~ 2015년 7월 18일," 매주 금요일, 토요일 밤 (시간) 8시 40분 (1회 ~ 14회)  매주 금요일, 토요일 밤 8시 30분 (15회 ~ 16회)", 16부작, 텔레비전 드라마, JTBC,2015-05-29 00:00:00
진주목걸이, 2003년 9월 20일 ~ 2004년 3월 14일," 토요일, 일요일 저녁 7시 50분 ~ 밤 8시 50분", 52부작, 드라마 드라마 음악, KBS 2TV,2003-09-20 00:00:00
거짓말, 1998년 3월 30일 ~ 1998년 6월 2일, 월~화 오후 9시 50분, 20회, 드라마, 한국방송공사,1998-03-30 00:00:00
야인시대, 2002년 7월 29일 ~ 2003년 9월 30일, 9시 55분, 124부작 + 스페셜," 시대극, 다큐드라마", SBS,2002-07-29 00:00:00
완벽한이웃을만나는법, 2007년 7월 25일 ~ 2007년 9월 27일," 매주 수,목 밤 9시 55분", 20부작, 드라마, SBS,2007-07-25 00:00:00
수상한가정부, 2013년 9월 23일 ~ 2013년 11월 26일," 월요일, 화요일 밤 10시", 20부작," 가족, 텔레비전 드라마     ", SBS TV,2013-09-23 00:00:00
수상한파트너, 2017년 5월 10일 ~ 2017년 7월 13일," 매주 수요일, 목요일 밤 10:00 ~ 11:10 (2회 연속방송)", 40부작," 법률, 로맨스, 코미디", SBS,2017-05-10 00:00:00
국희, 1999년 9월 13일 ~ 1999년 11월 16일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 10시 55분", 20부작, 드라마, 문화방송,1999-09-13 00:00:00
두번째스무살, 2015년 8월 28일 ~ 2015년 10월 17일," 매주 금요일, 토요일 밤 (시간) 8시 30분", 16부작, 텔레비전 드라마, tvN,2015-08-28 00:00:00
굿닥터, 2013년 8월 5일 ~  2013년 10월 8일," 월요일, 화요일 밤 10시", 20부작," 의학, 휴머니즘 Drama Drama Drama Drama Drama Drama Drama", KBS 제2TV,2013-08-05 00:00:00
평일오후세시의연인, 2019년 7월 5일 ~ 2019년 8월 24일," 매주 금요일, 토요일 밤 11시 ~ 12시 10분", 16부작, , 채널A,2019-07-05 00:00:00
브레인, 2011년 11월 14일 ~ 2012년 1월 17일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 20부작, 메디컬     , KBS 2TV,2011-11-14 00:00:00
여자의남자, 1993년 11월 8일 ~ 1993년 12월 28일," 월요일, 화요일 밤 (시간) 9시 50분", 16부작," 드라마, 멜로", 문화방송,1993-11-08 00:00:00
천사의선택, 2012년 4월 2일 ~ 2012년 10월 12일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분, 140부작, 텔레비전 드라마, MBC TV,2012-04-02 00:00:00
그대의창, 1994년 11월 28일 ~ 1995년 5월 13일, 평일 8시 40분 ~ 9시 10분, 142부작, 드라마, SBS TV,1994-11-28 00:00:00
연개소문, 2006년 7월 8일 ~ 2007년 6월 17일," 토요일, 일요일 밤 8시 45분", 100부작, 대하사극, SBS TV,2006-07-08 00:00:00
피아노, 1998년 3월 30일 ~ 1998년 3월 31일, 월 ·화요일 밤 9시 55분, 2부작, 홈드라마, MBC,1998-03-30 00:00:00
이리와안아줘, 2018년 5월 16일 ~ 2018년 7월 19일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10", 32부작, 드라마, MBC TV,2018-05-16 00:00:00
지금은사랑할때, 1999년 1월 4일 ~ 1999년 5월 22일,, 117부작, 드라마, 서울방송,1999-01-04 00:00:00
"내딸,금사월", 2015년 9월 5일 ~ 2016년 2월 28일," 토요일, 일요일 밤 (시간) 10시 ~ 11시 10분", 51부작," 드라마, 막장드라마 드라마음악 드라마음악 드라마음악", MBC TV,2015-09-05 00:00:00
노란복수초, 2012년 2월 27일 ~ 2012년 8월 30일, 월요일 ~ 목요일 오전 9시 45분 ~ 10시 35분, 108부작, 메디컬 드라마, tvN,2012-02-27 00:00:00
일편단심민들레, 2014년 8월 25일 ~ 2015년 2월 27일, 월요일 ~ 금요일 오전 9시 ~ 9시 40분, 134부작, 텔레비전 드라마 · 소설, 한국방송공사 KBS 2TV,2014-08-25 00:00:00
코마, 2006년 7월 21일 ~ 2006년 8월 18일, 매주 금요일 11시, 5부작," 미스터리, 스릴러", OCN (텔레비전 채널),2006-07-21 00:00:00
김약국의딸들, 2005년 1월 10일 ~ 2005년 7월 30일, 매주 월 ~ 토 오전 9시, 174부작, 텔레비전 드라마, ,2005-01-10 00:00:00
고독, 2002년 10월 21일 ~ 2002년 12월 24일, 매주 월 · 화요일 밤 9시 50분, 20부작," 텔레비전 드라마, 멜로", KBS 2TV,2002-10-21 00:00:00
고봉실아줌마구하기, 2011년 12월 17일 ~ 2012년 4월 15일, TV조선 주말드라마, 36부작, 텔레비전 드라마, TV조선,2011-12-17 00:00:00
바람의화원, 2008년 9월 24일 ~ 2008년 12월 4일," 수, 목 밤 9시 55분", 20부작 + 스페셜 2부작," 사극, 휴머니즘", SBS TV,2008-09-24 00:00:00
닥터프리즈너, 2019년 3월 20일 ~ 2019년 5월 15일," 매주 수요일, 목요일 밤 10시 ~ 11시 10분", 32부작," 범죄, 메디컬, 서스펜스", KBS 2TV,2019-03-20 00:00:00
여름아부탁해, 2019년 4월 29일 ~ 2019년 10월 25일, 매주 평일 저녁 8:30 ~ 9:00, 128부작, 드라마, KBS 1TV (본방송)KBS 2TV (재방송),2019-04-29 00:00:00
내인생의스페셜, 2006년 2월 6일 ~ 2006년 2월 28일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시", 8부작, 텔레비전 드라마, MBC TV,2006-02-06 00:00:00
모두다김치, 2014년 4월 7일 ~ 2014년 10월 31일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분, 132부작, 드라마 · 연속극, MBC TV,2014-04-07 00:00:00
"하이바이,마마!", 2020년 2월 22일 ~ 2020년 4월 19일," 매주 토요일 밤 9시 10분 ~ 10시 35분
매주 일요일 밤 9시 10분 ~ 10시 32분", 16부작, 휴먼 판타지 텔레비전 드라마 드라마음악 드라마음악 드라마음악 드라마음악, tvN,2020-02-22 00:00:00
원지동블루스, 1996년 8월 19일 ~ 1996년 12월 6일, 매주 월∼금요일 밤 9시 15분, , 드라마, KBS 2TV,1996-08-19 00:00:00
그리워, 1984년 4월 30일 ~ 1984년 8월 3일, 월~금 오후 9시 45분 ~ 10시 15분, , 드라마, MBC,1984-04-30 00:00:00
잘했군잘했어, 2009년 3월 14일 ~ 2009년 8월 2일," 토요일, 일요일 저녁 7시 55분 ~ 9시", 40부작, 텔레비전 드라마, MBC TV,2009-03-14 00:00:00
악의꽃, 2020년 7월 8일 ~ 2020년 8월 27일," 매주 수요일, 목요일 밤 10시 50분", 16부작, 서스펜스 멜로, tvN,2020-07-08 00:00:00
황금마차, 2002년 7월 1일 ~ 2003년 3월 1일, 월요일 ~ 토요일 오전 9시 ~ 9시 30분, 201부작, 드라마, 문화방송,2002-07-01 00:00:00
기황후, 2013년 10월 28일 ~ 2014년 4월 29일," 월요일, 화요일 밤 (시간) 10시 ~ 11시 15분", 51부작," 팩션 사극, 대하드라마", MBC TV,2013-10-28 00:00:00
인생이여고마워요, 2006년 1월 7일 ~ 2006년 3월 26일," 매주 토, 일 저녁 7시 55분 ~ 8시 55분", 24부작, 텔레비전 드라마, KBS 2TV,2006-01-07 00:00:00
달리는조사관, 2019년 9월 18일 ~ 2019년 10월 31일," 매주 수요일, 목요일 밤 11시", 14부작, 휴먼, OCN (텔레비전 채널),2019-09-18 00:00:00
미망, 1996년 10월 23일 ~ 1997년 5월 1일," 매주 수,목 밤 9시 50분", 56부작, 드라마, 문화방송,1996-10-23 00:00:00
내일을향해쏴라, 1998년 9월 14일 ~ 1998년 11월 3일, 매주 월.화 밤 9시 55분, 16부작, 드라마, 문화방송,1998-09-14 00:00:00
착한마녀전, 2018년 3월 3일 ~ 2018년 5월 5일, 매주 토요일 밤 8:55 ~ 11:15, 40부작, 드라마, SBS TV,2018-03-03 00:00:00
유혹, 1987년 10월 12일 ~ 1987년 11월 3일, 매주 월·화요일 밤 9시 50분 ~ 10시 50분, 8부작," 텔레비전 드라마, 에로", 문화방송,1987-10-12 00:00:00
굳세어라금순아, 2005년 2월 14일 ~ 2005년 9월 30일, 월요일 ~ 금요일 밤 (시간) 8시 20분 ~ 8시 55분, 163부작, 텔레비전 드라마, MBC TV,2005-02-14 00:00:00
퇴역전선, 1987년 9월 14일 ~ 1987년 10월 6일, 매주 월·화요일 밤 9시 50분 ~ 10시 50분, 8부작, 텔레비전 드라마, 문화방송,1987-09-14 00:00:00
무궁화꽃이피었습니다, 2017년 5월 29일 ~ 2017년 11월 10일, 매주 평일 저녁 8:25 ~ 밤 9:00, 120부작," 드라마, 수사물", KBS 1TV,2017-05-29 00:00:00
설중매, 1984년 1월 9일 ~ 1985년 2월 26일," 월요일 오후 10시 10분 (1~12회)
월 · 화요일 오후 10시 10분 (13~105회)", 105부작," 드라마, 사극", MBC,1984-01-09 00:00:00
엄마의깃발, 1996년 9월 2일 ~ 1997년 2월 28일, 월요일 ~ 금요일 밤 (시간) 8시 50분 ~ 9시 20분, 120부작, 텔레비전 드라마, SBS,1996-09-02 00:00:00
백만송이장미, 2003년 10월 6일 ~ 2004년 6월 4일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 173부작," 드라마, 코미디", 한국방송공사,2003-10-06 00:00:00
불멸의이순신, 2004년 9월 4일 ~ 2005년 8월 28일," 토요일,일요일 밤 10시 10분 → 9시 30분", 104부작 + 스페셜, 허구, KBS 1TV,2004-09-04 00:00:00
새야새야파랑새야, 1994년 3월 7일 ~ 1994년 3월 29일, 매주 월 · 화요일 밤 21시 50분, 8부작," 텔레비전 드라마, 사극", 문화방송,1994-03-07 00:00:00
젊은태양, 1999년 2월 13일 ~ 1999년 4월 18일," 매주 토,일 밤 8시 45분", 20부작, 드라마, SBS,1999-02-13 00:00:00
아들과딸, 1992년 10월 3일 ~ 1993년 5월 9일 (본방)1998년 1월 5일 ~ 1998년 4월 8일 (재방송), 매주 토 · 일요일 밤 8시 (본방)매주 월~금요일 오전 8시 10분 (재방송), 64부작, 드라마, 문화방송,1992-10-03 00:00:00
유리가면, 2012년 9월 3일 ~ 2013년 4월 4일, 월요일 ~ 목요일 오전 9시 45분 ~ 10시 35분, 122부작, 텔레비전 드라마, tvN,2012-09-03 00:00:00
커피하우스, 2010년 5월 17일 ~ 2010년 7월 27일, SBS 월화 드라마, 18부작, 텔레비전 드라마 드라마 음악, SBS TV,2010-05-17 00:00:00
부모님전상서, 2004년 10월 16일 ~ 2005년 6월 5일," 토요일, 일요일 저녁 7시 55분 ~ 밤 8시 55분", 68부작, 텔레비전 드라마, KBS 제2TV,2004-10-16 00:00:00
남강이승훈, 1982년 2월 15일 ~ 1982년 3월 16일, 매주 월 · 화요일 밤 9:50 ~ 10:40, 10부작, 텔레비전 드라마, 문화방송,1982-02-15 00:00:00
샐러리맨초한지," 2012년 1월 2일 ~ 2012년 3월 13일
(3월 14일 ~ 3월 15일 스페셜 방영)"," 월요일, 화요일 밤 9시 55분 ~ 11시 15분", 22부작 + 스페셜 2부작," 코미디, 스릴러 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악", SBS TV,2012-01-02 00:00:00
여왕의조건, 2005년 5월 9일 ~ 2005년 10월 8일, 월요일 ~ 토요일 오전 8시 30분 ~ 9시, 131부작, 드라마, SBS,2005-05-09 00:00:00
사랑은없다, 1994년 8월 24일 ~ 1994년 12월 14일," 수요일, 목요일 밤 (시간) 9시 50분 ~ 10시 50분", 33부작, 드라마, 서울방송,1994-08-24 00:00:00
천만번사랑해, 2009년 8월 29일 ~ 2010년 3월 7일," 토요일, 일요일 밤 (시간) 8시 50분 ~ 10시", 55부작, 드라마, SBS,2009-08-29 00:00:00
그대없인못살아, 2012년 5월 28일~ 2012년 11월 16일, 월요일 ~ 금요일 밤 (시간) 7시 15분 ~ 7시 55분, 110부작, 텔레비전 드라마, MBC TV,2012-05-28 00:00:00
별난여자별난남자, 2005년 9월 26일 ~ 2006년 5월 19일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 170부작, 드라마, 한국방송공사,2005-09-26 00:00:00
진짜진짜좋아해, 2006년 4월 8일 ~ 2006년 8월 6일," 토요일, 일요일 저녁 7시 55분 ~ 9시 5분", 34부작, 텔레비전 드라마, 문화방송,2006-04-08 00:00:00
어느멋진날, 2006년 4월 8일 ~ 2006년 8월 6일," 토요일, 일요일 저녁 7시 55분 ~ 9시 5분", 34부작, 텔레비전 드라마, 문화방송,2006-04-08 00:00:00
당신뿐이야, 2011년 11월 7일 ~ 2012년 5월 4일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 128부작, 텔레비전 드라마, KBS 1TV,2011-11-07 00:00:00
태양의여자, 2008년 5월 28일 ~ 2008년 7월 31일," 수, 목 밤 9시 55분 ~ 11시 5분", 20부작, 복수극, KBS 2TV,2008-05-28 00:00:00
스케치, 2018년 5월 25일 ~ 2018년 7월 14일," 매주 금요일, 토요일 밤 (시간) 11시", 16부작, 액션, JTBC,2018-05-25 00:00:00
사랑은이런거야, 2001년 10월 29일 ~ 2002년 6월 28일, 역대 방송 시간 참조, 172부작," 드라마, 코미디", KBS 1TV,2001-10-29 00:00:00
가을꽃겨울나무, 1991년 1월 2일 ~ 1991년 1월 31일," 수요일, 목요일 밤 (시간) 9시 50분", 10부작, 드라마, 한국방송공사,1991-01-02 00:00:00
혼술남녀, 2016년 9월 5일 ~ 2016년 10월 25일," 월요일, 화요일 밤 11시", 16부작," 로맨틱 코미디, 음식드라마", tvN,2016-09-05 00:00:00
당신의축배, 1989년 9월 20일 ~ 1989년 12월 14일, 매주 수·목요일 저녁 9시 50분, 23부작, 텔레비전 드라마, 문화방송,1989-09-20 00:00:00
드림하이2, 2012년 1월 30일 ~ 2012년 3월 20일, 월요일과 화요일 오후 9시 55분, 16," 뮤지컬, 코미디, 로맨스 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악 드라마 음악", KBS 제2TV,2012-01-30 00:00:00
치즈인더트랩, 2016년 1월 4일 ~ 2016년 3월 1일, tvN 월화드라마, 16부작, 드라마, tvN,2016-01-04 00:00:00
세자매, 2010년 4월 19일 ~ 2010년 10월 27일, 월요일 ~ 금요일 저녁 7시 20분 ~ 8시, 123부작, 텔레비전 드라마, SBS,2010-04-19 00:00:00
아버지가이상해, 2017년 3월 4일 ~ 2017년 8월 27일, 주말 저녁 7시 55분 ~ 밤 9시 15분, 52부작," 가족, 휴머니즘", KBS 2TV,2017-03-04 00:00:00
주몽," 2006년 5월 15일 ~ 2007년 3월 6일 (본방)
2007년 6월 29일 ~ 2008년 9월 5일 (재방)"," 월요일, 화요일 밤 9시 55분 (본방)
금요일 낮 12시 35분 (재방)", 81부작," 판타지, 대하드라마", MBC,2006-05-15 00:00:00
지성이면감천, 2013년 4월 29일 ~ 2013년 11월 1일, 매주 월요일 ~ 금요일 밤 8시 25분 ~ 9시, 135부작, 드라마 · 연속극, KBS 제1TV,2013-04-29 00:00:00
패션70's, 2005년 5월 23일 ~ 2005년 8월 29일," 월요일, 화요일 오후 9시 55분", 28부작," 시대극, 복고, 멜로", SBS,2005-05-23 00:00:00
월계수양복점신사들, 2016년 8월 27일 ~ 2017년 2월 26일, 주말 저녁 7시 55분 ~ 밤 9시 15분, 54부작," 가족, 로맨스, 코미디", KBS 2TV,2016-08-27 00:00:00
신귀공자, 2000년 7월 12일 ~ 2000년 9월 7일," 매주 수,목 밤 9시 55분", 16부작, 드라마, 문화방송,2000-07-12 00:00:00
막돼먹은영애씨14, 2015년 8월 10일 ~ 2015년 10월 5일, 매주 월 · 화요일 밤 11시, 17부작, 텔레비전 드라마, tvN,2015-08-10 00:00:00
아내의자격, 2012년 2월 29일 ~ 2012년 4월 19일 (본방)2012년 7월 1일 ~ 2012년 8월 19일 (재방)," 수요일, 목요일 밤 8시 45분 (본방)토요일, 일요일 오후 7시 40분 → 7시 30분 → 5시 35분 → 4시 40분(재방)", 16부작, 드라마, JTBC,2012-02-29 00:00:00
아씨, 1997년 10월 11일 ~ 1998년 3월 29일," 토요일, 일요일 밤 (시간) 9시 ~ 10시 (1~38회)
토요일, 일요일 밤 밤 8시 (39~50회)", 50부작, 드라마, KBS 2TV,1997-10-11 00:00:00
이별에대처하는우리의자세, 2005년 7월 27일 ~ 2005년 9월 15일, , 16부작, 텔레비전 드라마, ,2005-07-27 00:00:00
해뜰날, 1992년 3월 2일 ~ 1992년 9월 11일, , , 텔레비전 드라마, KBS 2TV,1992-03-02 00:00:00
예감, 1997년 9월 29일 ~ 1997년 11월 25일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 10시 55분", 16부작," 드라마, 멜로", MBC TV,1997-09-29 00:00:00
선암여고탐정단, 2014년 12월 16일 ~ 2015년 3월 18일, 매주 화요일 밤 11:00 ~ 12:15 (1~7회)  매주 수요일 밤 11:00 ~ 12:15 (8~14회), 14부작, 드라마, JTBC,2014-12-16 00:00:00
형, 1991년 11월 11일 ~ 1992년 12월 29일," 월요일, 화요일 밤 (시간) 9시 55분", 118부작, 드라마, 한국방송공사,1991-11-11 00:00:00
자매들, 1993년 10월 18일 ~ 1994년 4월 9일, 월요일 ~ 토요일 오전 9시, 142부작, 텔레비전 드라마, 문화방송,1993-10-18 00:00:00
어셈블리, 2015년 7월 15일 ~ 2015년 9월 17일," 수요일, 목요일 밤 10시 ~ 11시 10분", 20부작, 정치 드라마, KBS 2TV,2015-07-15 00:00:00
그대의초상, 1986년 2월 15일 ~ 1986년 8월 3일," 토, 일요일 오후 7시 50분", 50부작, 드라마, KBS2,1986-02-15 00:00:00
여자를몰라, 2010년 8월 2일 ~ 2010년 12월 31일, 월요일 ~ 금요일 오전 8시 40분 ~ 9시 20분, 109부작," 드라마, 멜로", SBS,2010-08-02 00:00:00
갑동이, 2014년 4월 11일 ~ 2014년 6월 21일," 금요일, 토요일 밤 8시 40분", 20부작, 범죄, tvN,2014-04-11 00:00:00
신비의거울속으로, 1995년 7월 12일 ~ 1995년 8월 31일," 수요일,목요일 밤 9시 50분", 16부작, 드라마, SBS(구 서울방송),1995-07-12 00:00:00
세상에서가장아름다운이별," 1996년 12월 2일 ~ 1996년 12월 3일 (본방), 1998년 7월 13일 ~ 1998년 7월 16일 (재방)", , 4부작, 드라마, MBC,1996-12-02 00:00:00
위대한이야기, 2015년 3월 15일 ~ 2015년 5월 10일, 방송 시간, 9부작웹 인용, 단막극," TV조선
tvN",2015-03-15 00:00:00
짝사랑, 1998년 10월 12일 ~ 1998년 12월 1일," 월, 화 오후 9시 50분", 16부작, 드라마, 한국방송공사,1998-10-12 00:00:00
마이프린세스, 2011년 1월 5일 ~ 2011년 2월 24일," 수요일, 목요일 밤 (시간) 문화방송 수목 미니시리즈", 16부작, 텔레비전 드라마, 문화방송,2011-01-05 00:00:00
아무도모른다, 2020년 3월 2일 ~ 2020년 4월 21일," 매주 월요일, 화요일 밤 9:40 ~ 10:50", 16부작," 범죄, 미스터리, 서스펜스", SBS TV,2020-03-02 00:00:00
자체발광오피스, 2017년 3월 15일 ~ 2017년 5월 4일," 매주 수, 목 밤 10시", 16부작, 로맨틱 코미디, MBC TV,2017-03-15 00:00:00
아버지처럼살기싫었어, 2001년 9월 15일 ~ 2002년 2월 24일," 매주 토,일 저녁 7시 55분", 48부작, 드라마, KBS 2TV,2001-09-15 00:00:00
국민여러분!, 2019년 4월 1일 ~ 2019년 5월 28일," 매주 월요일, 화요일 밤 10시 ~ 11시 10분", 36부작," 범죄, 코미디", KBS 2TV,2019-04-01 00:00:00
"고맙다,아들아", 2015년 2월 11일 ~ 2015년 2월 12일," 수요일, 목요일 밤 10시 ~ 11시 10분", 2부작, 드라마, KBS 제2TV,2015-02-11 00:00:00
영재의전성시대, 2005년 11월 16일 ~ 2006년 1월 5일," 수요일, 목요일 밤 (시간) 문화방송 수목 미니시리즈", 15부작, 텔레비전 드라마, MBC TV,2005-11-16 00:00:00
훠어이훠어이, 1988년 12월 7일 ~ 1989년 2월 2일," 수요일, 목요일 밤 (시간) 9시 50분", 18부작, 드라마, 한국방송공사,1988-12-07 00:00:00
"사임당,빛의일기", 2017년 1월 26일 ~ 2017년 5월 4일," 매주 수요일, 목요일 밤 10:00 ~ 11:10", 28부작," 판타지, 서사, 로맨스, 드라마 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", SBS TV,2017-01-26 00:00:00
더패키지, 2017년 10월 13일 ~ 2017년 11월 18일," 매주 금요일, 토요일 밤 (시간) 11시", 12부작, 드라마 Drama, JTBC,2017-10-13 00:00:00
나쁜여자들, 2002년 5월 8일 ~ 2002년 6월 27일," 매주 수,목 밤 9시 55분", 16부작, 드라마, SBS,2002-05-08 00:00:00
독신천하, 2006년 9월 25일~ 2006년 11월 7일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 14부작, 텔레비전 드라마, SBS,2006-09-25 00:00:00
제빵왕김탁구, 2010년 6월 9일 ~ 2010년 9월 16일," 수요일, 목요일 밤 (시간) 9시 55분 ~ 11시 15분", 30부작 + 스페셜 1부작," 요리, 막장, 휴먼 시대극 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", KBS 2TV,2010-06-09 00:00:00
딸부잣집, 1994년 9월 3일 ~ 1995년 4월 30일," 토요일, 일요일 밤 (시간) 7시 55분 ~ 8시 55분", 70부작, 텔레비전 드라마, 한국방송공사,1994-09-03 00:00:00
공주갑부김갑순, 1982년 3월 22일 ~ 1982년 6월 15일, 매주 월 · 화요일 밤 9:50 ~ 10:40, 22부작, 텔레비전 드라마, 문화방송,1982-03-22 00:00:00
소원을말해봐, 2014년 6월 23일 ~ 2015년 1월 2일, 월요일 ~ 금요일 밤 (시간) 7시 15분 ~ 7시 55분, 122부작, 텔레비전 드라마, MBC TV,2014-06-23 00:00:00
영혼수선공, 2020년 5월 6일 ~ 2020년 6월 25일," 매주 수요일, 목요일 밤 10시 ~ 11시 10분", 32부작," 메디컬, 휴머니즘", KBS 2TV,2020-05-06 00:00:00
연애시대, 2006년 4월 3일 ~ 2006년 5월 23일, 매주 월 ·화요일 밤 9시 55분, 16부작," 멜로, 드라마 드라마음악", SBS TV,2006-04-03 00:00:00
열혈장사꾼, 2009년 10월 10일 ~ 2009년 12월 13일," 매주 토요일 밤 10시 15분, 일요일 밤 10시 25분", 20부작, 텔레비전 드라마, KBS 2TV,2009-10-10 00:00:00
회전목마, 2003년 8월 23일 ~ 2004년 3월 14일, 매주 토·일요일 저녁 7시 55분, 58부작, 텔레비전 드라마, MBC TV,2003-08-23 00:00:00
인생은아름다워, 2010년 3월 20일 ~ 2010년 11월 7일," 토요일, 일요일 밤 (시간) 10시 ~ 11시 10분", 63부작, 텔레비전 드라마, SBS,2010-03-20 00:00:00
파랑새의집, 2015년 2월 21일 ~ 2015년 8월 9일," 토요일, 일요일 저녁 7시 55분 ~ 밤 (시간) 9시 15분", 50부작, 드라마 · 연속극, KBS 2TV,2015-02-21 00:00:00
분이, 2003년 4월 21일 ~ 2003년 11월 15일, 매주 월요일 ~ 토요일 오전 8시 5분, 178부작, 드라마, KBS 1TV,2003-04-21 00:00:00
내마음을뺏어봐, 1998년 3월 25일 ~ 1998년 5월 14일," 매주 수,목 밤 9시 55분", 16부작, 드라마, SBS TV,1998-03-25 00:00:00
세상에서제일예쁜내딸, 2019년 3월 23일 ~ 2019년 9월 22일, 주말 저녁 7시 55분 ~ 밤 9시 15분, 108부작,, KBS 2TV,2019-03-23 00:00:00
아이언맨, 2014년 9월 10일 ~ 2014년 11월 13일," 수요일, 목요일 밤 10시", 18부작뉴스 인용," 판타지, 로맨틱, 코미디", KBS 제2TV,2014-09-10 00:00:00
피아노, 2001년 11월 21일 ~ 2002년 1월 10일," 수요일, 목요일 밤 (시간) 9시 55분 ~ 11시 5분", 16부작," 드라마, 멜로", SBS,2001-11-21 00:00:00
눈먼새의노래, 1994년 12월 12일 ~ 1994년 12월 13일, 밤 9시 50분, 2부작, 텔레비전 드라마, MBC,1994-12-12 00:00:00
폭풍의계절, 1993년 5월 12일 ~ 1993년 12월 30일," 수요일,목요일 밤 (시간) 9시 50분 ~ 10시 50분", 66부작, 드라마, 문화방송,1993-05-12 00:00:00
커피프린스1호점, 2007년 7월 2일 ~ 2007년 8월 27일," 월, 화 오후 9시 55분", 17부작, 로맨스, MBC TV,2007-07-02 00:00:00
귀여운여인, 2003년 11월 10일 ~ 2004년 6월 4일, 월요일 ~ 금요일 밤 (시간) 8시 20분 ~ 8시 55분, 145부작, 드라마, MBC,2003-11-10 00:00:00
응답하라1994, 2013년 10월 18일 ~ 2013년 12월 28일," 매주 금요일, 토요일
밤 8시 50분 (1회 ~ 2회)
밤 8시 40분 (3회 ~ 21회)", 21부작," 시대극, 연애, 코미디, 텔레비전 드라마 드라마음악", tvN,2013-10-18 00:00:00
완장, 1989년 10월 23일 ~ 1989년 11월 14일, 매주 월·화요일 밤 9시 50분 ~ 10시 50분, 8부작, 텔레비전 드라마, 문화방송,1989-10-23 00:00:00
제1공화국, 1981년 4월 2일 ~ 1982년 2월 11일, , 54부작, 정치드라마, MBC TV,1981-04-02 00:00:00
킬잇, 2019년 3월 23일 ~ 2019년 4월 28일," 토요일, 일요일 밤 10시 20분", 12부작," 범죄, 액션", OCN (텔레비전 채널),2019-03-23 00:00:00
미나, 2001년 11월 5일 ~ 2001년 12월 25일," 월요일, 화요일 밤 (시간) 9시 50분 ~ 11시", 16부작, 텔레비전 드라마, KBS 2TV,2001-11-05 00:00:00
영광의재인, 2011년 10월 12일 ~ 2011년 12월 28일," 수요일, 목요일 오후 9시 55분", 24부작, 텔레비전 드라마, KBS 2TV(지상파),2011-10-12 00:00:00
서울하늘아래, 1996년 11월 11일 ~ 1996년 12월 31일, 월요일 ~ 금요일 밤 (시간) 8시 25분 ~ 9시, 37부작, 드라마, MBC,1996-11-11 00:00:00
봄날, 2005년 1월 8일 ~ 2005년 3월 13일," 매주 토,일 밤 9시 55분", 20부작," 텔레비전 드라마, 멜로", SBS TV,2005-01-08 00:00:00
제국의아침, 2002년 3월 2일~2003년 1월 26일," 토, 일 밤 9시 45분", 94부작, 사극, KBS1,2002-03-02 00:00:00
쿨, 2001년 7월 9일 ~ 2001년 8월 28일," 월,화 오후 9시 50분", 16부작, 드라마, KBS 2TV,2001-07-09 00:00:00
막돼먹은영애씨, 방송 기간, 방송 기간, 총 301부작, 텔레비전 드라마, tvN,unknown
직지, 2005년 12월 3일, 토요일 밤 (시간) 9시 40분, 1부작, 사극, MBC,2005-12-03 00:00:00
별을따다줘, 2010년 1월 4일 ~ 2010년 3월 16일," 월요일, 화요일 밤 (시간) 8시 50분 ~ 9시 55분", 20부작," 텔레비전 드라마, 로맨스", SBS (대한민국의 방송사),2010-01-04 00:00:00
홍길동,, 수요일 ~ 목요일 밤 9시 55분 ~ 11시 5분 1998년 7월 22일 ~ 1998년 9월 10일, 16부작," 액션, 드라마, 로맨스", SBS TV,unknown
밥잘사주는예쁜누나, 2018년 3월 30일 ~ 2018년 5월 19일," 매주 금요일, 토요일 밤 (시간) 11시", 16부작," 멜로, 드라마", JTBC,2018-03-30 00:00:00
옥란면옥, 2018년 9월 26일, 수요일 밤 (시간) 10시, 2부작, 드라마, KBS 제2TV,2018-09-26 00:00:00
