제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
야호, 1987년 3월 9일 ~ 1987년 3월 31일, 8부작, 텔레비전 드라마, 문화방송, , 정하연," 한애경, 김동현 (1950년), 임영규, 정욱 외",1987-03-09 00:00:00
팝콘, 2000년 5월 24일 ~ 2000년 7월 13일, 16부작, 드라마, SBS, , 이희명," 송승헌, 김규리 (1979년 6월), 정준 (배우) 외",2000-05-24 00:00:00
해바라기, 1998년 11월 25일 ~ 1999년 1월 21일, 16부작, 드라마, MBC,," 인정옥, 최진원"," 안재욱, 김희선, 추상미, 한재석 외",1998-11-25 00:00:00
로펌, 2001년 6월 6일 ~ 2001년 7월 26일, 16부작, 법률, SBS, , 박예랑," 송승헌, 소지섭, 김지호 (배우), 서정 (배우)",2001-06-06 00:00:00
완전한사랑, 2003년 10월 4일 ~ 2003년 12월 21일, 24부작, 드라마, SBS, SBS 플러스, 김수현 ," 차인표, 김희애, 이승연 외",2003-10-04 00:00:00
못난이주의보, 2013년 5월 20일 ~ 2013년 11월 29일, 133부작, 텔레비전 드라마, SBS TV(지상파)," 신영이엔씨, 휴먼엔네이쳐", 정지우 (드라마 작가)," 임주환, 강소라 외",2013-05-20 00:00:00
미워도좋아, 2007년 10월 1일 ~ 2008년 3월 1일, 129부작, 드라마, SBS, , 이도영 ," 김윤경 (1977년), 유태웅, 최필립 (1979년), 이서연 외",2007-10-01 00:00:00
유산, 1989년 3월 4일 ~ 1989년 7월 2일, 36부작, 텔레비전 드라마, 문화방송, , 이재우 ," 최상훈, 박순천 (배우), 김청, 남성훈 외",1989-03-04 00:00:00
모범택시, 1989년 3월 4일 ~ 1989년 7월 2일, 36부작, 텔레비전 드라마, 문화방송, , 이재우 ," 최상훈, 박순천 (배우), 김청, 남성훈 외",1989-03-04 00:00:00
마법의성, 1999년 11월 22일 ~ 1999년 12월 28일, 12부작, 드라마, 한국방송공사,, 구현숙," 유준상, 이나영, 황인성 (배우), 이덕화",1999-11-22 00:00:00
결혼의법칙, 2001년 4월 23일 ~ 2001년 11월 2일, 136부작, 드라마, MBC, 삼화네트웍스, 문영남," 손현주, 오연수, 지성 (배우), 이민영 (배우) 외",2001-04-23 00:00:00
도망자플랜B, 2010년 9월 29일 ~ 2010년 12월 8일, 20부작 + 스페셜 1부작, 첩보 액션 드라마 음악 드라마 음악, KBS 제2TV, 노영락 도망자에스원문전사, 천성일 (작가) ," 비 (가수), 이나영, 다니엘 헤니, 이정진, 윤진서, 데니안, 김광민 (1982년)",2010-09-29 00:00:00
잘했군잘했어, 2009년 3월 14일 ~ 2009년 8월 2일, 40부작, 텔레비전 드라마, MBC TV,, 박지현," 채림, 엄기준, 김승수 (배우), 김정화 외",2009-03-14 00:00:00
신이라불리운사나이, 2010년 3월 6일 ~ 2010년 5월 23일, 24부작, 블록버스터 액션 텔레비전 드라마," 문화방송(지상파)
오리온 시네마 네트워크, 슈퍼 액션(대한민국의 케이블TV 방송)"," 플랜비픽쳐스, 모두프로덕션, 마이더스 픽쳐스, J&J인터네셔날 이강훈, 김동현, 김병협, 김석훈"," 이홍구 (작가), 고경순, 박승혜 "," 송일국, 한채영, 김민종, 한고은, 유인영, 조진웅 외",2010-03-06 00:00:00
아파트, 1995년 10월 21일 ~ 1996년 4월 21일, 54부작, 드라마, 문화방송,, 최성실," 채시라, 최진실, 변우민, 김민종 외",1995-10-21 00:00:00
낮과밤, 2020년 ~ 방송 예정, 16부작, , tvN,  제이에스픽쳐스, 신유담," 남궁민 (배우),한예슬 외",unknown
상처, 1989년 6월 12일 ~ 1989년 7월 4일, 8부작, 텔레비전 드라마, 문화방송, , 서영명," 이미숙, 유인촌, 정한용 외",1989-06-12 00:00:00
첫사랑, 2003년 8월 2일 ~ 2003년 9월 28일, 16부작, 멜로, SBS, 김종학프로덕션, 고은님," 신성우, 조안 (배우), 조현재 (배우), 김지수 (1972년) 외",2003-08-02 00:00:00
당신곁으로, 2003년 3월 3일 ~ 2003년 9월 10일, 164부작, 드라마, SBS TV,, 이홍구 (1947년) ," 송채환, 김유석, 손현주, 이아현 외",2003-03-03 00:00:00
부암동복수자들, 2017년 10월 11일 ~ 2017년 11월 16일, 12부작, 드라마, tvN," 제이에스픽쳐스 이진석 (연출가), 박지영"," 김이지 (1 ~ 16회)
황다은 (3 ~ 16회)"," 이요원, 라미란, 명세빈, 유키스 외",2017-10-11 00:00:00
내사랑나비부인, 2012년 10월 6일 ~ 2013년 4월 7일, 51부작, 텔레비전 드라마, SBS," 팬 엔터테인먼트(문정수, 김희열)", 문은아," 염정아, 박용우, 김성수 (1973년), 윤세아 외",2012-10-06 00:00:00
흐르는강물처럼, 2002년 11월 2일 ~ 2003년 4월 20일, 50부작, 드라마, SBS, SBS 프로덕션, 김정수 (작가)," 김주혁, 김지수 (1972년), 이민영 (배우), 한다감, 이주현 (1976년)",2002-11-02 00:00:00
육남매, 1998년 2월 4일 ~ 1999년 12월 17일, 100부작, 드라마, 문화방송, 이관희 프로덕션, 최성실," 장미희, 오태경, 이미미, 노형욱 (배우), 이찬호, 송은혜, 김웅희 외",1998-02-04 00:00:00
그대목소리, 1995년 5월 15일 ~ 1995년 10월 7일, 127부작, 드라마, 서울방송,,," 윤여정, 장민호 (배우), 김영애, 한진희, 전무송 외",1995-05-15 00:00:00
식샤를합시다, 2013년 11월 28일 ~ 2014년 3월 13일, 16부작, 텔레비전 드라마, tvN,, 임수미," 이수경 (1982년), 윤두준, 윤소희, 심형탁  外",2013-11-28 00:00:00
또하나의행복, 1991년 2월 18일 ~ 1991년 8월 3일, 136부작, 텔레비전 드라마, 문화방송, , 박희숙 ," 최명길, 임채무, 나문희, 윤여정 외",1991-02-18 00:00:00
4일간의사랑, 1992년 7월 27일 ~ 1992년 7월 28일, 2부작," 텔레비전 드라마, 멜로", 문화방송, , 주찬옥 ," 손지창, 이연수, 최민수 외",1992-07-27 00:00:00
가족끼리왜이래, 2014년 8월 16일 ~ 2015년 2월 15일, 53부작," 가족, 휴머니즘", KBS 제2TV, 삼화네트웍스 안제현. 신상윤, 강은경 (작가)," 유동근, 김현주 (1977년), 김상경, 윤박, 손담비, 박형식, 남지현 (배우), 서강준 외",2014-08-16 00:00:00
적색지대, 1992년 11월 25일 ~ 1993년 2월 4일, 22부작, 드라마, KBS 2TV,, 이환경," 이동준 (배우), 이아로, 유혜리, 이신재 외",1992-11-25 00:00:00
